12	0	42
11.94864	0.0138	42
11.79552	0.05376	42
11.54328	0.11664	42
11.19612	0.19872	42
10.76016	0.297	42
10.2426	0.408	42
9.65256	0.52728	42
9	0.64944	42
8.29608	0.7686	42
7.55292	0.87828	42
6.78312	0.9726	42
6	1.04628	42
5.21688	1.09536	42
4.44708	1.11744	42
4.07136	1.11816	42
3.70392	1.11192	42
3.34632	1.09896	42
3	1.07952	42
2.66652	1.05288	42
2.34744	1.01796	42
2.04396	0.97356	42
1.7574	0.9192	42
1.48896	0.85608	42
1.23984	0.78624	42
1.01124	0.71268	42
0.80388	0.63756	42
0.61872	0.56124	42
0.45672	0.48324	42
0.31836	0.40224	42
0.20448	0.31824	42
0.11532	0.23316	42
0.05136	0.15048	42
0.01284	0.07392	42
0	0.00564	42
0.01284	-0.05436	42
0.05136	-0.10776	42
0.11532	-0.15552	42
0.20448	-0.19812	42
0.31836	-0.23508	42
0.45672	-0.26568	42
0.61872	-0.28968	42
0.80388	-0.30804	42
1.01124	-0.3216	42
1.23984	-0.33156	42
1.48896	-0.33792	42
1.7574	-0.34068	42
2.04396	-0.33984	42
2.34744	-0.3354	42
2.66652	-0.32808	42
3	-0.31836	42
3.34632	-0.30708	42
3.70392	-0.29496	42
4.07136	-0.28212	42
4.44708	-0.26904	42
5.21688	-0.24216	42
6	-0.21504	42
6.78312	-0.18792	42
7.55292	-0.1614	42
8.29608	-0.13572	42
9	-0.11136	42
9.65256	-0.08892	42
10.2426	-0.069	42
10.76016	-0.05148	42
11.19612	-0.03624	42
11.54328	-0.0228	42
11.79552	-0.01128	42
11.94864	-0.003	42
12	0	42
